"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","30 Jun 2026","13864.75","13864.75","13774","13803.40"
"NIFTY 200","29 Jun 2026","13891.2","13913.9","13792.2","13820.10"
"NIFTY 200","25 Jun 2026","13948.85","14004.4","13879.85","13891.25"
"NIFTY 200","24 Jun 2026","13799.1","13930.05","13777.6","13889.45"
"NIFTY 200","23 Jun 2026","13967.15","13991.45","13790.85","13812.00"
"NIFTY 200","22 Jun 2026","13965.7","13991.75","13946.5","13975.20"
"NIFTY 200","19 Jun 2026","13885.65","13928.3","13841.2","13911.25"
"NIFTY 200","18 Jun 2026","13924.65","13980.75","13896.05","13970.35"
"NIFTY 200","17 Jun 2026","13883.9","13925","13845.4","13918.25"
"NIFTY 200","16 Jun 2026","13830.1","13861.85","13795.1","13854.30"
"NIFTY 200","15 Jun 2026","13831","13868.65","13767.95","13788.90"
"NIFTY 200","12 Jun 2026","13490.45","13630.95","13431.25","13618.55"
"NIFTY 200","11 Jun 2026","13333.75","13422.95","13300.9","13333.70"
"NIFTY 200","10 Jun 2026","13471.5","13532.25","13377.05","13397.80"
"NIFTY 200","09 Jun 2026","13440.3","13487.6","13391.15","13471.15"
"NIFTY 200","08 Jun 2026","13360.45","13468.8","13330.85","13362.25"
"NIFTY 200","05 Jun 2026","13591.5","13618.45","13473.55","13527.00"
"NIFTY 200","04 Jun 2026","13471.9","13586.8","13450.3","13549.85"
"NIFTY 200","03 Jun 2026","13551.65","13562.9","13379.45","13528.85"
"NIFTY 200","02 Jun 2026","13442.3","13607.65","13421.35","13577.00"
"NIFTY 200","01 Jun 2026","13725.5","13758.1","13514.55","13528.35"
"NIFTY 200","29 May 2026","13884.6","13925.6","13629.8","13663.70"
"NIFTY 200","27 May 2026","13817.65","13883.75","13813.1","13861.60"
"NIFTY 200","26 May 2026","13843.55","13891","13799.15","13823.15"
"NIFTY 200","25 May 2026","13803.2","13862.55","13794.5","13849.10"
"NIFTY 200","22 May 2026","13659","13722.65","13643.65","13675.90"
"NIFTY 200","21 May 2026","13739.95","13759.55","13612.6","13639.60"
"NIFTY 200","20 May 2026","13509.15","13651.25","13473.95","13638.00"
"NIFTY 200","19 May 2026","13598.25","13681.85","13580.8","13598.50"
"NIFTY 200","18 May 2026","13505.6","13597.15","13379.85","13575.35"
"NIFTY 200","15 May 2026","13674.9","13706.3","13578.15","13596.35"
"NIFTY 200","14 May 2026","13563.1","13686.35","13477.3","13644.95"
"NIFTY 200","13 May 2026","13431.9","13582.9","13379.55","13488.30"
"NIFTY 200","12 May 2026","13677.35","13700.7","13421.3","13438.60"
"NIFTY 200","11 May 2026","13817.7","13821.3","13711.25","13721.40"
"NIFTY 200","08 May 2026","13956.25","13962.9","13897","13920.75"
"NIFTY 200","07 May 2026","14007.45","14053.45","13949.85","13991.90"
"NIFTY 200","06 May 2026","13868.35","13968.6","13783.25","13958.85"
"NIFTY 200","05 May 2026","13760.95","13790.55","13683","13768.65"
"NIFTY 200","04 May 2026","13760","13867.15","13718.85","13786.60"
"NIFTY 200","30 Apr 2026","13735.5","13753.6","13594.45","13705.55"
"NIFTY 200","29 Apr 2026","13821.95","13922","13790.7","13825.10"
"NIFTY 200","28 Apr 2026","13781.4","13843.35","13740.4","13759.85"
"NIFTY 200","27 Apr 2026","13697.8","13815.75","13694.2","13795.50"
"NIFTY 200","24 Apr 2026","13780.95","13831.75","13598.75","13656.85"
"NIFTY 200","23 Apr 2026","13838.7","13886.6","13789.7","13801.35"
"NIFTY 200","22 Apr 2026","13925.1","13958.75","13885","13916.75"
"NIFTY 200","21 Apr 2026","13881.3","13983.3","13876.7","13971.20"
"NIFTY 200","20 Apr 2026","13885.2","13937","13778.7","13864.30"
"NIFTY 200","17 Apr 2026","13739.2","13871","13702.5","13862.85"
"NIFTY 200","16 Apr 2026","13811.2","13830.7","13667.55","13742.25"
"NIFTY 200","15 Apr 2026","13667.7","13734.8","13661.15","13717.65"
"NIFTY 200","13 Apr 2026","13309.45","13513.1","13268","13473.30"
"NIFTY 200","10 Apr 2026","13465.85","13592.45","13454.6","13581.30"
"NIFTY 200","09 Apr 2026","13437.75","13492.25","13345","13399.35"
"NIFTY 200","08 Apr 2026","13383.1","13485.5","13360","13471.45"
"NIFTY 200","07 Apr 2026","12818.2","12970.45","12738.75","12958.15"
"NIFTY 200","06 Apr 2026","12763.9","12901.9","12645.5","12886.40"
"NIFTY 200","02 Apr 2026","12557.45","12761.35","12396.1","12728.00"
"NIFTY 200","01 Apr 2026","12820.3","12864.3","12680.4","12720.35"
"NIFTY 200","30 Mar 2026","12630.6","12715.9","12468","12492.10"
"NIFTY 200","27 Mar 2026","12999.1","13003.9","12782.15","12789.20"
"NIFTY 200","25 Mar 2026","12934","13157.6","12933.65","13072.60"
"NIFTY 200","24 Mar 2026","12819.4","12912","12647.4","12832.90"
"NIFTY 200","23 Mar 2026","12830.6","12839.55","12568.75","12594.30"
"NIFTY 200","20 Mar 2026","12990.65","13129.2","12964.55","12985.40"
"NIFTY 200","19 Mar 2026","13064.1","13133.1","12874.1","12918.65"
"NIFTY 200","18 Mar 2026","13239.05","13396.35","13236.1","13351.15"
"NIFTY 200","17 Mar 2026","13154.6","13247.2","13069.85","13209.35"
"NIFTY 200","16 Mar 2026","12998.25","13162.25","12865.5","13103.60"
"NIFTY 200","13 Mar 2026","13231.15","13247.5","12995.95","13018.25"
"NIFTY 200","12 Mar 2026","13318.05","13420.9","13217.65","13317.80"
"NIFTY 200","11 Mar 2026","13617.45","13666.4","13395.95","13415.70"
"NIFTY 200","10 Mar 2026","13608.65","13643.9","13500.35","13617.75"
"NIFTY 200","09 Mar 2026","13401.95","13481.85","13262.2","13456.55"
"NIFTY 200","06 Mar 2026","13799.8","13841.95","13688.9","13706.00"
"NIFTY 200","05 Mar 2026","13755.85","13894.9","13712.4","13850.45"
"NIFTY 200","04 Mar 2026","13682.35","13743.55","13600.3","13678.05"
"NIFTY 200","02 Mar 2026","13769.9","14019.45","13764.6","13931.30"
"NIFTY 200","27 Feb 2026","14281.35","14288.15","14101.75","14121.05"
"NIFTY 200","26 Feb 2026","14306.5","14328.6","14230.15","14297.55"
"NIFTY 200","25 Feb 2026","14264.75","14336.7","14225.25","14268.65"
"NIFTY 200","24 Feb 2026","14290.45","14290.45","14134.65","14214.45"
"NIFTY 200","23 Feb 2026","14336.85","14380.45","14274.75","14331.00"
"NIFTY 200","20 Feb 2026","14184.4","14325.7","14172.2","14280.85"
"NIFTY 200","19 Feb 2026","14455.2","14458.4","14173.75","14211.95"
"NIFTY 200","18 Feb 2026","14384.75","14435.65","14331.65","14429.20"
"NIFTY 200","17 Feb 2026","14314.45","14382.9","14281.6","14367.20"
